职位,公司,工作地点,最小工资,最大工资,发布时间
Java开发工程师,字节跳动,北京,15711.81,15711.81,01-04
资深Java架构师/Associate Director-个险平台,美世咨询（中国）有限公司Mercer Consulting (China)Ltd.,上海,30000.0,50000.0,01-03
京东新通路高级Java研发工程师,京东商城,武汉,40000.0,50000.0,01-03
阿里集团-高德-Java开发专家-共享攻坚方向,阿里巴巴集团,北京,13000.0,30000.0,01-03
C/C++/JAVA（OD）,华为技术有限公司,南京-雨花台区,15711.81,15711.81,01-03
仓储系统高级Java工程师,美团点评,北京-朝阳区,13000.0,26000.0,01-03
Senior Java Developer,思爱普（中国）有限公司,上海-浦东新区,30000.0,40000.0,01-03
高级Java后台开发工程师,普联技术有限公司（TP-LINK),成都-高新区,15711.81,15711.81,01-03
Java开发工程师,恒生电子股份有限公司,北京,12000.0,24000.0,01-03
Java开发工程师,神州数码通用软件（北京）有限公司,上海,20000.0,25000.0,01-03
263104-JAVA开发工程师,平安国际融资租赁有限公司,上海-浦东新区,12000.0,20000.0,01-03
JAVA开发工程师,江苏金蝶软件有限公司,南京,25000.0,33333.33,01-03
Java高级开发工程师,湖北航天信息技术有限公司,武汉-东西湖区,6000.0,8000.0,01-03
JAVA开发培训师,北大青鸟（广州软测）授权培训中心,广州,7000.0,14000.0,01-04
Java开发工程师,上海融芯计算机科技有限公司,上海-浦东新区,10000.0,15000.0,01-03
Java开发工程师,广州市融易信息科技有限公司,广州-海珠区,8000.0,15000.0,01-03
高级Java开发工程师,上海华客信息科技有限公司,上海-长宁区,10000.0,15000.0,01-03
Java中级开发工程师,四川安亮科技有限公司,成都,15000.0,25000.0,01-03
Java开发工程师,武汉百泰基因工程有限公司,武汉-洪山区,10000.0,15000.0,01-03
Java（实习）,吉林省车益佰科技股份有限公司,吉林,8000.0,12000.0,01-03
Java开发工程师-深圳,招银云创（深圳）信息技术有限公司,深圳-南山区,1500.0,2000.0,01-03
高级软件开发工程师_java方向,东莞怡合达自动化股份有限公司,东莞-虎门镇,10000.0,15000.0,01-03
Java高级开发工程师（供应链）,泉后（广州）生物科技有限公司,广州-白云区,10000.0,15000.0,01-03
Java架构师,深圳市智慧盾科技有限公司,深圳-南山区,15000.0,20000.0,01-03
Java开发工程师,合肥斑码智能科技有限责任公司,合肥-高新区,30000.0,40000.0,01-03
java高级软件工程师,南京瑞玥科技有限公司,镇江,8000.0,13000.0,01-03
Java高级开发工程师,智阳网络技术（上海）有限公司,上海-浦东新区,8000.0,10000.0,01-03
Sr. Java Developer,隐适美中国 Invisalign,成都-锦江区,20000.0,25000.0,01-03
java开发工程师,青岛好驻大数据科技有限公司,青岛-市北区,15711.81,15711.81,01-03
Java开发工程师,上海屹通信息科技发展有限公司,南昌-东湖区,6000.0,10000.0,01-03
Java开发工程师,欢网科技有限责任公司,上海-黄浦区,10000.0,15000.0,01-03
Java高级工程师,鼎铉商用密码测评技术（深圳）有限公司,深圳-坪山区,12000.0,20000.0,01-03
JAVA软件工程师/WEB前端工程师,希而科工业控制设备（上海）有限公司,上海,15000.0,30000.0,01-03
JAVA软件开发工程师,珠海市方乐通咨询服务有限公司,珠海,10000.0,15000.0,01-03
Java开发工程师 初级,成都易设界科技有限公司,成都,3000.0,4500.0,01-03
系统架构师(JAVA),品鑫泰供应链（深圳）有限公司,深圳-南山区,3000.0,4500.0,01-03
Java游戏服务器,上海成蹊信息科技有限公司,上海-徐汇区,15000.0,20000.0,01-03
Java高级开发工程师,广州智能科技发展有限公司,广州,15000.0,30000.0,01-03
高级Java工程师,北京闪送科技有限公司,北京-海淀区,12000.0,18000.0,01-03
EDC开发JAVA工程师,虎撑医疗科技（上海）有限公司,上海-浦东新区,25000.0,30000.0,01-03
Java开发工程师,上海天正信息科技有限公司,上海,15000.0,20000.0,01-03
java后端开发人员,浙江我武生物科技股份有限公司,上海,9000.0,11000.0,01-03
Java 开发工程师,上海杰奕信息技术有限公司,上海-虹口区,8000.0,12000.0,01-03
Java高级开发工程师,广州迅易科技有限公司,广州-海珠区,10000.0,25000.0,01-03
Java开发工程师,南京睿帆软件科技有限公司,南京-雨花台区,10000.0,18000.0,01-03
Java开发工程师,北京易诚互动网络技术有限公司,广州-天河区,5000.0,15000.0,01-03
Java高级开发工程师,北京兰光创新科技有限公司,杭州,10000.0,15000.0,01-03
微服务开发（JAVA方向）,山东辰华科技信息有限公司,济南-历下区,15000.0,20000.0,01-03
JAVA全栈开发工程师,云南惠家保科技服务有限公司,昆明-官渡区,6000.0,8000.0,01-03
JAVA开发实习生+双休+住宿,青岛小笨象电影科技有限公司,青岛-市北区,4500.0,6000.0,01-03
